gender,age_clean,bmi,height_m,weight_kg,overweight_family,consum_cf,consum_vf,consum_daily,consum_other,smoking,consum_water,cal_monitoring,phyical_activity,device_usage,consum_alchohol,transportation,Obesity
Female,22,24.84,1.63,66.0,1,0,2,3,Sometimes,no,2,no,1,1,no,pt,1
Female,22,24.78,1.53,58.0,1,0,3,3,Sometimes,yes,3,yes,3,0,Sometimes,pt,1
Male,24,24.11,1.81,79.0,1,0,2,3,Sometimes,no,2,no,2,1,Frequently,pt,1
Male,28,27.17,1.81,89.0,0,0,3,3,Sometimes,no,2,no,2,0,Frequently,w,2
Male,23,28.34,1.79,90.8,0,0,2,1,Sometimes,no,2,no,1,0,Sometimes,pt,3
Male,30,20.32,1.63,54.0,0,1,2,3,Sometimes,no,2,no,1,0,Sometimes,c,1
Female,24,24.56,1.51,56.0,1,1,3,3,Sometimes,no,2,no,1,0,Sometimes,mb,1
Male,23,19.83,1.65,54.0,0,0,2,3,Sometimes,no,2,no,3,0,Sometimes,pt,1
Male,25,20.6,1.79,66.0,1,1,3,3,Sometimes,no,2,no,1,1,Frequently,pt,1
Male,23,23.05,1.73,69.0,1,1,2,3,Sometimes,no,2,no,1,1,no,pt,1
Male,27,30.93,1.86,107.0,1,1,3,3,Frequently,no,3,no,1,2,Sometimes,pt,4
Female,22,27.4,1.73,82.0,1,1,2,3,Frequently,no,2,yes,2,1,Sometimes,pt,3
Male,23,20.69,1.66,57.0,0,0,3,3,Sometimes,no,3,no,2,0,Sometimes,pt,1
Male,42,30.83,1.81,101.0,0,1,2,3,Sometimes,no,2,no,2,1,Frequently,c,4
Male,24,19.57,1.78,62.0,1,1,3,1,Sometimes,no,1,no,1,1,Sometimes,pt,1
Female,23,22.91,1.71,67.0,1,0,3,3,Always,no,2,yes,2,1,Sometimes,pt,1
Male,28,27.63,1.94,104.0,1,1,2,1,Sometimes,no,1,no,1,0,Sometimes,pt,3
Female,30,35.59,1.54,84.4,0,1,2,1,Sometimes,no,2,no,1,0,no,c,4
Female,31,28.39,1.72,84.0,1,1,3,4,Frequently,yes,1,no,1,0,no,c,3
Female,24,26.13,1.66,72.0,1,0,2,1,Sometimes,no,2,no,1,0,Sometimes,pt,2
Male,24,29.76,1.66,82.0,1,0,2,3,Sometimes,no,2,no,3,2,no,w,3
Female,53,30.8,1.7,89.0,1,1,3,1,Sometimes,yes,2,no,1,0,no,c,4
Female,23,22.14,1.66,61.0,1,1,3,3,Sometimes,no,2,no,1,0,Sometimes,c,1
Female,23,32.41,1.61,84.0,1,1,1,1,Sometimes,no,2,no,1,2,Sometimes,pt,4
Male,22,19.94,1.86,69.0,1,1,2,3,Sometimes,no,2,no,1,1,Sometimes,pt,1
